["68c64455d56f8ff7642e3a0007ef1ed4","2019-12-24 22:10:51"]
["68c64455d56f8ff7642e3a0007ef1ed4","2019-12-24 22:12:38"]
["68c64455d56f8ff7642e3a0007ef1ed4","2019-12-24 22:13:19"]
["68c64455d56f8ff7642e3a0007ef1ed4","2019-12-24 22:13:19"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:24:35"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:24:36"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:24:36"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:09"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:10"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:25"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:25"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:29"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:29"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:37"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:38"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:39"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:44"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:25:53"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:26:03"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:26:07"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:26:07"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:26:36"]
["897cff820e3ac0a52c70eea67b55757c","2019-12-24 22:26:37"]
["b59c2b91b0e9fc3dcc9793575430941f","2019-12-24 22:37:51"]
["7ae1129d0e078bebe4f7f1751c51ad1e","2019-12-24 22:37:54"]
["161a102a7f3d3ee59ff2500ab6731163","2019-12-24 22:37:56"]
["e0bb42c2c9bb8bb7a5e75f1aa4455133","2019-12-24 22:38:05"]
["e0bb42c2c9bb8bb7a5e75f1aa4455133","2019-12-24 22:38:05"]
["e0bb42c2c9bb8bb7a5e75f1aa4455133","2019-12-24 22:38:05"]
["e0bb42c2c9bb8bb7a5e75f1aa4455133","2019-12-24 22:38:05"]
["e0bb42c2c9bb8bb7a5e75f1aa4455133","2019-12-24 22:38:05"]
["0a13f9622d24edb0285b2c761df16af2","2019-12-24 22:38:48"]
["0a13f9622d24edb0285b2c761df16af2","2019-12-24 22:38:48"]
["0a13f9622d24edb0285b2c761df16af2","2019-12-24 22:38:48"]
["0a13f9622d24edb0285b2c761df16af2","2019-12-24 22:38:59"]
["0a13f9622d24edb0285b2c761df16af2","2019-12-24 22:39:10"]
["e0bb42c2c9bb8bb7a5e75f1aa4455133","2019-12-24 22:40:51"]
